Time,Lat,Lon,Speed (knots),Heading (deg),Distance to WP (m),Heading Error (deg),XTE (m),RZ Thrust,Forward Thrust,WP Lat,WP Lon
2025-04-15 18:02:37,50.0183434,-4.0050128,1.6999946024319998,119.4,51.38428914751372,-73.85355979878787,1.4368726538160348,-95.72523107914421,7.0,50.01866666666667,-4.0045
2025-04-15 18:02:39,50.01833765,-4.00499695,1.4999952374399999,118.1,51.03862916998638,-73.95791992527708,0.1763902810990474,-99.5352539835015,7.0,50.01866666666667,-4.0045
2025-04-15 18:02:41,50.01833335,-4.004981066666667,1.4999952374399999,106.9,50.60394857651807,-64.0585620788361,-0.9737945193606278,-98.99542566426837,7.0,50.01866666666667,-4.0045
2025-04-15 18:02:43,50.01833276666667,-4.0049535333333335,1.299995872448,78.4,49.33488286874815,-37.287130877275246,-2.436846752340565,-63.159568613696834,7.0,50.01866666666667,-4.0045
2025-04-15 18:02:45,50.01833598333333,-4.0049394,1.199996189952,62.3,48.40323549454713,-21.809995718705963,-2.9162334773313567,-41.285295758900205,7.0,50.01866666666667,-4.0045
2025-04-15 18:02:47,50.018340333333335,-4.0049284,1.099996507456,55.4,47.52492718179701,-15.252322618665083,-3.146699610485128,-32.11507154182268,7.0,50.01866666666667,-4.0045
2025-04-15 18:02:50,50.018348683333336,-4.004912883333334,0.899997142464,46.4,46.09949187547354,-6.561850511392457,-3.3007728727890453,-19.52957645733902,60.42884305296123,50.01866666666667,-4.0045
2025-04-15 18:02:51,50.0183549,-4.0049038,1.4999952374399999,39.7,45.15192455141725,0.06766621246872262,-3.2883268435804816,-9.539364611611855,84.7,50.01866666666667,-4.0045
2025-04-15 18:02:53,50.018368,-4.0048893,2.899990792384,32.2,43.36779466005504,7.746869131981882,-3.0230976616897673,2.768836592962101,42.01365368900156,50.01866666666667,-4.0045
2025-04-15 18:02:56,50.018401966666666,-4.00486005,2.799991109888,28.3,39.13434563347319,12.853154147968507,-1.9055300424867758,13.758046554395957,7.0,50.01866666666667,-4.0045
2025-04-15 18:02:57,50.0184192,-4.0048454,2.399992379904,28.9,37.0033246679476,12.986275704525248,-1.3287209487175777,15.60693037083117,7.0,50.01866666666667,-4.0045
2025-04-15 18:02:59,50.01843335,-4.00483315,1.9999936499200002,29.3,35.24791191065957,13.235455739002145,-0.8665011609743895,17.334273112967576,7.0,50.01866666666667,-4.0045
2025-04-15 18:03:02,50.01845341666667,-4.0048154,1.599994919936,30.1,32.74863448448915,13.440882845909947,-0.23046613344791025,19.523344303237117,7.0,50.01866666666667,-4.0045
2025-04-15 18:03:03,50.01846306666667,-4.004806566666667,1.399995554944,30.9,31.53595587564348,13.153263840990043,0.0600842808926018,19.918094288732707,7.0,50.01866666666667,-4.0045
2025-04-15 18:03:05,50.01847153333333,-4.00479855,1.299995872448,32.0,30.460846967838794,12.51080543516673,0.3012797500149426,19.660552969853057,7.0,50.01866666666667,-4.0045
2025-04-15 18:03:08,50.0184846,-4.00478535,1.099996507456,34.2,28.763751848201306,11.0008870573581,0.6308849466016855,18.37025157220594,7.0,50.01866666666667,-4.0045
2025-04-15 18:03:09,50.01849176666666,-4.00477755,0.9999968249600001,35.5,27.806264150609657,10.057324039336606,0.7828123415938879,17.387406455379665,7.0,50.01866666666667,-4.0045
2025-04-15 18:03:12,50.01850205,-4.00476565,0.899997142464,37.7,26.397956312623364,8.337656164941038,0.9643527041721008,15.343882499575356,32.83282319681628,50.01866666666667,-4.0045
2025-04-15 18:03:14,50.018507783333334,-4.004758533333334,1.099996507456,39.7,25.58872295309553,6.575078263664906,1.0407455751117751,12.917265869401282,60.22328378264736,50.01866666666667,-4.0045
2025-04-15 18:03:15,50.01851545,-4.004747883333334,1.799994284928,43.9,24.448485808650965,2.586543409307332,1.0845212654160523,7.061494375075229,84.7,50.01866666666667,-4.0045
2025-04-15 18:03:18,50.01854016666667,-4.004703716666667,3.9999872998400003,52.1,20.26381056608263,-6.1216612303112825,0.719294673788421,-7.093919769992488,67.26938448096267,50.01866666666667,-4.0045
2025-04-15 18:03:21,50.01857426666667,-4.00463265,3.9999872998400003,51.7,13.993697443122743,-9.010608218204098,-0.30642983108640737,-14.47331532946096,5.9,50.01866666666667,-4.0045
2025-04-15 18:03:23,50.01859173333333,-4.004599616666667,3.2999895223679996,49.8,10.970461052335828,-9.296310784227998,-0.6583520464640401,-15.889219988381843,5.9,50.01866666666667,-4.0045
2025-04-15 18:03:24,50.018607116666665,-4.00457185,2.4999920624,48.7,8.387860857135815,-10.91524716089124,-0.8999766892150266,-19.021663613308895,5.9,50.01866666666667,-4.0045
2025-04-15 18:03:27,50.0186256,-4.004539516666667,1.799994284928,48.2,53.121521349199334,-86.51808808941831,5.207571705732325,-84.58202432009074,7.0,50.019,-4.005
2025-04-15 18:03:30,50.01864056666667,-4.004515916666667,1.399995554944,36.4,52.913514717923256,-77.27157263033797,2.8359678449024024,-91.82290627193512,7.0,50.019,-4.005
2025-04-15 18:03:33,50.0186576,-4.004503616666667,1.299995872448,10.1,52.09027656691363,-53.06854919836411,0.8866691237519645,-77.11367468889125,7.0,50.019,-4.005
2025-04-15 18:03:36,50.018674383333334,-4.004504116666666,1.099996507456,346.2,50.71414406651729,-30.577827194772567,-0.38410884093370745,-47.065079897578386,7.0,50.019,-4.005
2025-04-15 18:03:39,50.01868805,-4.004512883333334,0.9999968249600001,329.7,49.19205986396698,-14.795145633655238,-0.9883828612195253,-25.124353950468038,7.0,50.019,-4.005
2025-04-15 18:03:42,50.018698783333335,-4.004524616666667,0.899997142464,321.1,47.7548429536493,-6.499687822588612,-1.2132689312454028,-13.319629639958569,61.39485123697297,50.019,-4.005
2025-04-15 18:03:45,50.01871318333333,-4.004546566666667,2.199993014912,311.4,45.51141502784477,3.151229105909124,-1.1952437117369707,1.223435034226179,84.7,50.019,-4.005
2025-04-15 18:03:48,50.018740316666666,-4.004602366666667,4.299986347328,305.9,40.553361136252576,9.56612364929731,-0.4175842481918583,13.171307761238696,13.742438489919806,50.019,-4.005
